model,tokens_per_second,gpu
llama-7b-hf,46.8962053,H100
llama-13b-hf,39.19574157,H100
llama-30b-hf,18.82804631,H100
llama-7b-hf,42.74881083,H100
llama-13b-hf,35.23939977,H100
llama-30b-hf,19.8320925,H100
llama-7b-hf,50.59125485,H100
llama-13b-hf,39.52592108,H100
llama-30b-hf,19.90789271,H100
llama-7b-hf,50.28049584,H100
llama-13b-hf,39.58789577,H100
llama-30b-hf,19.89543287,H100
llama-7b-hf,41.29518191,H100
llama-13b-hf,37.25480607,H100
llama-30b-hf,19.91445444,H100
gpt2,100.394848,H100
gpt2-medium,87.88753787,H100
gpt2-large,58.241876,H100
gpt2-xl,45.66835979,H100
dolly-v2-3b,44.48797248,H100
dolly-v2-7b,29.83841459,H100
dolly-v2-12b,24.23590232,H100
llama-7b-hf,34.7744397,H100
llama-13b-hf,39.17434532,H100
dolly-v2-3b,30.10841653,H100
gpt2,186.3989815,RTX3090
gpt2-medium,143.7465257,RTX3090
gpt2-large,98.00552326,RTX3090
gpt2-xl,76.46740366,RTX3090
dolly-v2-3b,22.66684162,RTX3090
dolly-v2-7b,17.11990466,RTX3090
dolly-v2-12b,16.24290832,RTX3090
llama-7b-hf,18.50897347,RTX3090
llama-13b-hf,14.34460207,RTX3090
alpaca-lora-7b,18.08493146,RTX3090
alpaca-13b,13.65226093,RTX3090
text-curie-001,79.72082175,RTX3090
text-babbage-001,120.8212969,RTX3090
text-ada-001,110.1044123,RTX3090
text-davinci-002,45.44169238,RTX3090
text-davinci-003,12.33509037,RTX3090
gpt-3.5-turbo,8.384363023,RTX3090
gpt-4,5.633699391,RTX3090
gpt2,262.017565,RTX3090
gpt2-medium,143.2768406,RTX3090
gpt2-large,99.5420866,RTX3090
gpt2-xl,75.29890335,RTX3090
dolly-v2-3b,23.00935778,RTX3090
dolly-v2-7b,18.34622266,RTX3090
dolly-v2-12b,17.23075961,RTX3090
llama-7b-hf,18.61779661,RTX3090
llama-13b-hf,14.08574553,RTX3090
alpaca-lora-7b,18.6431761,RTX3090
alpaca-13b,15.79546899,RTX3090
text-curie-001,31.85060175,RTX3090
text-babbage-001,129.486608,RTX3090
text-ada-001,154.1752824,RTX3090
text-davinci-002,43.72855242,RTX3090
text-davinci-003,15.61747681,RTX3090
gpt-3.5-turbo,7.986714266,RTX3090
gpt-4,4.401530078,RTX3090
gpt2,259.722748,RTX3090
gpt2-medium,143.0686761,RTX3090
gpt2-large,98.60985893,RTX3090
gpt2-xl,74.04208629,RTX3090
dolly-v2-3b,21.30357058,RTX3090
dolly-v2-7b,18.47891233,RTX3090
dolly-v2-12b,17.92410708,RTX3090
llama-7b-hf,18.18395195,RTX3090
llama-13b-hf,13.51818887,RTX3090
alpaca-lora-7b,19.07393182,RTX3090
alpaca-13b,15.2746652,RTX3090
text-curie-001,14.09870947,RTX3090
text-babbage-001,134.5053902,RTX3090
text-ada-001,142.5142154,RTX3090
text-davinci-002,58.27847003,RTX3090
text-davinci-003,14.63380639,RTX3090
gpt-3.5-turbo,8.215587723,RTX3090
gpt-4,5.623811423,RTX3090
gpt2,262.9817568,RTX3090
gpt2-medium,142.4702599,RTX3090
gpt2-large,98.90740444,RTX3090
gpt2-xl,75.05885771,RTX3090
dolly-v2-3b,22.70779489,RTX3090
dolly-v2-7b,18.3935663,RTX3090
dolly-v2-12b,17.35044053,RTX3090
llama-7b-hf,18.72475796,RTX3090
llama-13b-hf,14.29920766,RTX3090
alpaca-lora-7b,18.84975578,RTX3090
alpaca-13b,17.79701915,RTX3090
text-curie-001,101.851914,RTX3090
text-babbage-001,117.6671848,RTX3090
text-ada-001,59.37643688,RTX3090
text-davinci-002,48.21483734,RTX3090
text-davinci-003,13.6838497,RTX3090
gpt-3.5-turbo,7.195566602,RTX3090
gpt-4,5.483453496,RTX3090
gpt2,256.866402,RTX3090
gpt2-medium,146.1143138,RTX3090
gpt2-large,98.99044144,RTX3090
gpt2-xl,73.05927785,RTX3090
dolly-v2-3b,25.44664777,RTX3090
dolly-v2-7b,18.33862835,RTX3090
dolly-v2-12b,17.21039319,RTX3090
llama-7b-hf,16.68868526,RTX3090
llama-13b-hf,14.54694524,RTX3090
alpaca-lora-7b,17.795193,RTX3090
alpaca-13b,20.65252714,RTX3090
text-curie-001,85.56313671,RTX3090
text-babbage-001,131.7712246,RTX3090
text-ada-001,139.2108057,RTX3090
text-davinci-002,54.62257934,RTX3090
text-davinci-003,15.00381214,RTX3090
gpt-3.5-turbo,6.884751221,RTX3090
gpt-4,4.700153468,RTX3090
gpt2,260.3398625,RTX3090
gpt2-medium,142.3517846,RTX3090
gpt2-large,98.21246232,RTX3090
gpt2-xl,74.34716454,RTX3090
dolly-v2-3b,22.3552954,RTX3090
dolly-v2-7b,18.62509481,RTX3090
dolly-v2-12b,17.14665495,RTX3090
llama-7b-hf,18.20754196,RTX3090
llama-13b-hf,14.24053253,RTX3090
alpaca-lora-7b,18.80211787,RTX3090
alpaca-13b,16.19878597,RTX3090
text-curie-001,92.22188438,RTX3090
text-babbage-001,136.248418,RTX3090
text-ada-001,122.162187,RTX3090
text-davinci-002,59.39001479,RTX3090
text-davinci-003,15.80456602,RTX3090
gpt-3.5-turbo,7.055569381,RTX3090
gpt-4,5.28529334,RTX3090
gpt2,258.4851664,RTX3090
gpt2-medium,141.7387446,RTX3090
gpt2-large,96.34848996,RTX3090
gpt2-xl,73.78662632,RTX3090
dolly-v2-3b,21.5961244,RTX3090
dolly-v2-7b,18.52763614,RTX3090
dolly-v2-12b,17.2042516,RTX3090
llama-7b-hf,15.81801066,RTX3090
llama-13b-hf,14.5449019,RTX3090
alpaca-lora-7b,18.66106145,RTX3090
alpaca-13b,15.13492291,RTX3090
text-curie-001,16.36229093,RTX3090
text-babbage-001,135.776981,RTX3090
text-ada-001,119.196186,RTX3090
text-davinci-002,45.55445181,RTX3090
text-davinci-003,14.50952321,RTX3090
gpt-3.5-turbo,7.608207939,RTX3090
gpt-4,4.547587121,RTX3090
gpt2,258.1979244,RTX3090
gpt2-medium,387.2943199,RTX3090
gpt2-large,99.43518293,RTX3090
gpt2-xl,66.36810367,RTX3090
dolly-v2-3b,20.56466999,RTX3090
dolly-v2-7b,18.3661971,RTX3090
dolly-v2-12b,17.23462082,RTX3090
llama-7b-hf,18.23909422,RTX3090
llama-13b-hf,14.22857941,RTX3090
alpaca-lora-7b,18.57324679,RTX3090
alpaca-13b,16.9760512,RTX3090
text-curie-001,16.17161805,RTX3090
text-babbage-001,148.5459826,RTX3090
text-ada-001,1.394451789,RTX3090
text-davinci-002,49.36812569,RTX3090
text-davinci-003,13.60963815,RTX3090
gpt-3.5-turbo,7.157321486,RTX3090
gpt-4,5.406116814,RTX3090
gpt2,258.7504728,RTX3090
gpt2-medium,141.2730282,RTX3090
gpt2-large,96.77497358,RTX3090
gpt2-xl,73.42851935,RTX3090
dolly-v2-3b,22.37473839,RTX3090
dolly-v2-7b,18.49701435,RTX3090
dolly-v2-12b,17.20679631,RTX3090
llama-7b-hf,18.64532498,RTX3090
llama-13b-hf,14.43752311,RTX3090
alpaca-lora-7b,18.58792462,RTX3090
alpaca-13b,17.92182176,RTX3090
text-curie-001,8.579968637,RTX3090
text-babbage-001,135.7596682,RTX3090
text-ada-001,127.2586804,RTX3090
text-davinci-002,64.54395794,RTX3090
text-davinci-003,12.30352429,RTX3090
gpt-3.5-turbo,7.051466781,RTX3090
gpt-4,4.149120118,RTX3090
gpt2,260.2856046,RTX3090
gpt2-medium,143.3618197,RTX3090
gpt2-large,97.59324527,RTX3090
gpt2-xl,74.8754484,RTX3090
dolly-v2-3b,21.219387,RTX3090
dolly-v2-7b,18.43922741,RTX3090
dolly-v2-12b,17.29053963,RTX3090
llama-7b-hf,18.16666729,RTX3090
llama-13b-hf,14.11192709,RTX3090
alpaca-lora-7b,18.55260548,RTX3090
alpaca-13b,16.966002,RTX3090
text-curie-001,85.13116194,RTX3090
text-babbage-001,126.5076182,RTX3090
text-ada-001,129.7347204,RTX3090
text-davinci-002,37.79293727,RTX3090
text-davinci-003,14.68525814,RTX3090
gpt-3.5-turbo,7.585604141,RTX3090
gpt-4,5.218913904,RTX3090
gpt2,264.2882763,RTX3090
gpt2-medium,149.3159627,RTX3090
gpt2-large,97.57228528,RTX3090
gpt2-xl,73.81447416,RTX3090
dolly-v2-3b,21.30649778,RTX3090
dolly-v2-7b,18.29487017,RTX3090
dolly-v2-12b,17.21352962,RTX3090
llama-7b-hf,18.95185003,RTX3090
llama-13b-hf,14.29809333,RTX3090
alpaca-lora-7b,18.92174484,RTX3090
alpaca-13b,16.94620175,RTX3090
text-curie-001,30.15344599,RTX3090
text-babbage-001,122.8069424,RTX3090
text-ada-001,117.4493093,RTX3090
text-davinci-002,48.94263813,RTX3090
text-davinci-003,11.02166885,RTX3090
gpt-3.5-turbo,6.956770756,RTX3090
gpt-4,5.024056181,RTX3090
gpt2,260.5577371,RTX3090
gpt2-medium,144.1309602,RTX3090
gpt2-large,96.04086994,RTX3090
gpt2-xl,74.48033781,RTX3090
dolly-v2-3b,22.50382628,RTX3090
dolly-v2-7b,18.55303913,RTX3090
dolly-v2-12b,17.22260101,RTX3090
llama-7b-hf,18.13046812,RTX3090
llama-13b-hf,14.05308084,RTX3090
alpaca-lora-7b,18.43506323,RTX3090
alpaca-13b,16.81480629,RTX3090
text-curie-001,82.77095987,RTX3090
text-babbage-001,100.8133583,RTX3090
text-ada-001,134.1308703,RTX3090
text-davinci-002,50.75069618,RTX3090
text-davinci-003,9.211390181,RTX3090
gpt-3.5-turbo,7.863327744,RTX3090
gpt-4,4.734280422,RTX3090
gpt2,259.4741748,RTX3090
gpt2-medium,143.5857853,RTX3090
gpt2-large,98.84335129,RTX3090
gpt2-xl,74.18119351,RTX3090
dolly-v2-3b,22.49526571,RTX3090
dolly-v2-7b,18.37720424,RTX3090
dolly-v2-12b,17.13393475,RTX3090
llama-7b-hf,18.52640826,RTX3090
llama-13b-hf,14.22300108,RTX3090
alpaca-lora-7b,18.40604784,RTX3090
alpaca-13b,16.35916414,RTX3090
text-curie-001,81.66469324,RTX3090
text-babbage-001,136.4425776,RTX3090
text-ada-001,128.724409,RTX3090
text-davinci-002,39.47345876,RTX3090
text-davinci-003,11.30612649,RTX3090
gpt-3.5-turbo,6.806902901,RTX3090
gpt-4,4.120526693,RTX3090
gpt2,258.7669211,RTX3090
gpt2-medium,143.5334911,RTX3090
gpt2-large,97.9093671,RTX3090
gpt2-xl,75.72454573,RTX3090
